"","X","Provincia","Barrio","X.De.qué.forma.obtiene.el.agua.dentro.de.su.vivienda.","X.Se.ve.usted.obligado.a.a.comprar.agua.embotellada.para.consumo.del.hogar.","X.Cómo.es.la.presión.del.agua.","X.Tiene.capacidad.de.almacenamiento.de.agua.en.altura.","X.Cuántos.litros.de.almacenamiento.de.agua.posee.","X.Posee.baño.letrina.en.la.vivienda.","X.En.dónde.suele.higienizarse.si.no.es.en.su.vivienda.","X.Los.baños.son.compartidos.con.otros.grupos.familiares.","X.Su.baño.letrina.posee.descarga.de.agua.","X.Qué.tipo.de.desagüe.posee.la.vivienda.","X.Posee.instalación.de.agua.en.la.cocina.","X.Posee.instalación.de.agua.CALIENTE.en.la.cocina...De.qué.tipo.","X.Posee.instalación.de.agua.en.el.baño.","X.Posee.instalación.de.agua.CALIENTE.en.el.baño...De.qué.tipo.","X.Qué.fuentes.de.energía.utilizan.para.cocinar.en.su.vivienda.","NA..1","NA..2","NA..3","NA..4","X.Cuál.es.la.principal.fuente.de.energía.que.utiliza.para.calefaccionar.la.vivienda.","NA..5","NA..6","NA..7","NA..8","NA..9","X.Tenés.algún.tipo.de.ventilación.para.la.calefacción...solo.para.leña..carbón.y.gas.","X.Qué.tipo.de.conexión.posee.a.la.red.eléctrica.","X.Qué.tipo.de.tendido.eléctrico.posee.dentro.de.la.vivienda.","X.Sufrió.la.pérdida.de.electrodomésticos.o.herramientas.de.trabajo.por.las.condiciones.de.la.instalación.eléctrica.EN.EL.ÚLTIMO.AÑO.","X.Sufrió.incendios.dentro.de.su.vivienda.durante.el.último.año.debido.a.las.condiciones.de.la.instalación.eléctrica.","X.Son.frecuentes.los.cortes.del.suministro.eléctrico.en.verano.","X.Son.frecuentes.los.cortes.del.suministro.eléctrico.en.invierno.","X.Posee.servicio.de.internet.de.banda.ancha.en.la.vivienda.","En.su.hogar.hay.AL.MENOS.UN.celular.que.permite.el.acceso.a.internet.a.través.de.datos.móviles..abono.tarjeta.","X.Cuántos.abonos.prepagos.de.datos.móviles.sostienen.por.mes.en.la.vivienda.","X.Cuántas.computadoras.de.escritorio..notebooks.y.o.netbooks.poseen.en.la.vivienda.","X.Cuántos.teléfonos.y.o.tablets.poseen.en.la.vivienda."
"1150",1150,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","No","Buena","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Todo el tendido dentro de las paredes","No","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","Sí",4,1,0
"1151",1151,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","Sí","Buena","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,NA,NA,"Leña/Carbón",NA,NA,NA,"Electricidad",NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Todo el tendido dentro de las paredes","No","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",0,0,0
"1152",1152,"CABA","VILLA 31","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","Si, con un calefón eléctrico","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda","No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","No","No","Por lo menos 2 cortes en el mes","Por lo menos 2 cortes en el mes","Sí pero no sé qué tipo de servicio tengo en mi vivienda","Sí",0,0,0
"1153",1153,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","No","Buena","Sí","Menos de 200 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,NA,"Electricidad",NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Todo el tendido dentro de las paredes","No","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","Sí",1,1,0
"1154",1154,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","Sí","Buena","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con un termotanque a gas",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda","No necesito calefaccionar mi vivienda en ninguna época del año",NA,"No posee conexión a la red eléctrica en la vivienda","Todo el tendido dentro de las paredes","No","No","Por lo menos 3 cortes en el mes","Por lo menos 2 cortes en el mes","No poseo internet de banda ancha","Sí",1,0,0
"1155",1155,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","Sí","Buena","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,NA,"Electricidad",NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","Sí",2,0,0
"1156",1156,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","Sí","Buena","No",NA,"Si, fuera de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","No",NA,"Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 3 cortes en el mes","Por lo menos 3 cortes en el mes","Sí pero no sé qué tipo de servicio tengo en mi vivienda","Sí",1,0,0
"1157",1157,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","Sí","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, al menos un electrodoméstico o herramientas de trabajo","Sí","Más de 4 cortes mensuales","Más de 4 cortes mensuales","Si inálambrico/satelital","Sí",1,0,0
"1158",1158,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","Sí","Buena","Sí","Más de 500 lts","Si, fuera de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","No",NA,"Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Todo el tendido dentro de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",2,0,0
"1159",1159,"CABA","VILLA 31","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Débil","No",NA,"Si, dentro de la vivienda",NA,"Sí","Descargamos manualmente con baldes","Desagüe a red cloacal informal/vecinal","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 3 cortes en el mes","Por lo menos 3 cortes en el mes","Si inálambrico/satelital","Sí",2,0,2
"1160",1160,"CABA","VILLA 31","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","Descargamos manualmente con baldes","Desagüe a red cloacal informal/vecinal","Sí","No tengo agua caliente","No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","Sí","Más de 4 cortes mensuales","Más de 4 cortes mensuales","Si a través de fibra óptica","Sí",1,1,2
"1161",1161,"CABA","VILLA 31","A través de una conexión con medidor a la red pública","Sí","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","Descargamos manualmente con baldes","Desagüe a red cloacal pública","No",NA,"Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","Si, tres o más","Sí","Más de 4 cortes mensuales","Por lo menos 2 cortes en el mes","Si a través de fibra óptica","Sí",5,0,0
"1162",1162,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","Sí","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","Sí",1,1,2
"1163",1163,"Misiones","Villa Cabello (Chacra 159)","No sabe","No","Débil","Sí","Menos de 200 lts","Si, dentro de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","No",0,1,3
"1164",1164,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","No",NA,"No","NS/NC","Sí","Descargamos manualmente con baldes","Desagüe a red cloacal pública","No",NA,"No",NA,NA,NA,NA,NA,"No tengo para cocinar en mi vivienda",NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"No posee conexión a la red eléctrica en la vivienda","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","Sí","Por lo menos 2 cortes en el mes","No son frecuentes","No poseo internet de banda ancha","No",0,0,0
"1165",1165,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","No posee descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)","Electricidad",NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",0,0,2
"1166",1166,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Buena","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Todo el tendido dentro de las paredes","No","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","Si a través de fibra óptica","Sí",1,1,3
"1167",1167,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","Sí","Buena","Sí","Menos de 200 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","Si, con un termotanque a gas","Sí","Si, con un termotanque eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión a través de un medidor comunitario a la red eléctrica","Todo el tendido dentro de las paredes","No","No","Por lo menos 3 cortes en el mes","Por lo menos 3 cortes en el mes","Si a través de fibra óptica","Sí",2,0,2
"1168",1168,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Buena","Sí","Menos de 200 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Todo el tendido dentro de las paredes","Si, al menos un electrodoméstico o herramientas de trabajo","No","Por lo menos 3 cortes en el mes","Por lo menos 3 cortes en el mes","No poseo internet de banda ancha","Sí",1,0,2
"1169",1169,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Buena","Sí","Menos de 200 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","No","No","Por lo menos 3 cortes en el mes","Por lo menos 3 cortes en el mes","No poseo internet de banda ancha","Sí",1,0,0
"1170",1170,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Buena","Sí","Menos de 200 lts","Si, fuera de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal informal/vecinal","No",NA,"No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","Sí",0,0,1
"1171",1171,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Buena","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal pública","No",NA,"No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, tres o más","No","Por lo menos 2 cortes en el mes","Por lo menos 2 cortes en el mes","No poseo internet de banda ancha","No",2,0,2
"1172",1172,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Buena","No",NA,"Si, fuera de la vivienda",NA,"Sí","Descargamos manualmente con baldes","A pozo negro/ciego","Sí","Si, con una ducha eléctrica","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, al menos dos electrodomésticos","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","No",0,0,3
"1173",1173,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","Sí","Buena","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","No","No","No son frecuentes","No son frecuentes","Si a través de fibra óptica","Sí",2,3,2
"1174",1174,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Buena","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","No",NA,"Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, tres o más","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","No",1,0,3
"1175",1175,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Buena","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","No",NA,"Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, tres o más","No","Por lo menos 3 cortes en el mes","Por lo menos 2 cortes en el mes","No poseo internet de banda ancha","Sí",1,4,4
"1176",1176,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Buena","Sí","Menos de 200 lts","Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","No",NA,"Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, tres o más","Sí","Por lo menos 2 cortes en el mes","Por lo menos 2 cortes en el mes","No poseo internet de banda ancha","Sí",2,1,3
"1177",1177,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"Sí","No posee descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","Si inálambrico/satelital","No",0,0,2
"1178",1178,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Muy débil","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor comunitario a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",0,0,2
"1179",1179,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión a través de un medidor comunitario a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",0,0,4
"1180",1180,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)","Electricidad",NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",0,0,2
"1181",1181,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",0,0,2
"1182",1182,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","No sabe","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","No",0,0,1
"1183",1183,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)","Electricidad",NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",0,0,1
"1184",1184,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","Sí","200 a 500 lts","Si, fuera de la vivienda",NA,"Sí","Descargamos manualmente con baldes","Desagüe a red cloacal pública","No",NA,"Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","Si, al menos dos electrodomésticos","Sí","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",0,0,1
"1185",1185,"Misiones","Villa Cabello (Chacra 159)","No poseo agua dentro de la vivienda y/o tengo que acarrear desde fuera del terreno en que se ubica mi vivienda","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"Sí","Descargamos manualmente con baldes","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"No posee conexión a la red eléctrica en la vivienda","Todo el tendido dentro de las paredes","Si, al menos un electrodoméstico o herramientas de trabajo","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",0,0,2
"1186",1186,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","No",0,0,1
"1187",1187,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","Sí","Menos de 200 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",0,0,2
"1188",1188,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión con medidor a la red pública","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)","Electricidad",NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",0,0,2
"1189",1189,"Misiones","Villa Cabello (Chacra 159)","A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Débil","Sí","Menos de 200 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con una ducha eléctrica",NA,"Gas natural (red de gas)","Electricidad",NA,NA,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 1 corte en el mes","No son frecuentes","No poseo internet de banda ancha","Sí",1,0,2
